iter	RMSE
293	19873.96633
294	19854.96152
295	19841.41055
296	19820.57081
297	19783.919
298	19774.51083
299	19765.48117
300	19765.38967
301	19741.36789
302	19717.46788
303	19689.81601
304	19652.97821
305	19625.45306
306	19599.35314
307	19579.93792
308	19555.5681
309	19541.27959
310	19518.2119
311	19509.4183
312	19475.45626
313	19433.78515
314	19419.14382
315	19407.54483
316	19398.09158
317	19391.74838
318	19382.63389
319	19377.69615
320	19368.10209
321	19324.03562
322	19298.64712
323	19278.90668
324	19243.33515
325	19224.51954
326	19212.8392
327	19203.52144
328	19194.60515
329	19163.22629
330	19133.2439
331	19099.02045
332	19081.49286
333	19063.8005
334	19042.8702
335	19008.40933
336	19001.6448
337	18983.68191
338	18955.93547
339	18930.50724
340	18922.12218
341	18899.44469
342	18874.66522
343	18868.35387
344	18837.78741
345	18816.24734
346	18799.37686
347	18779.69274
348	18773.85091
349	18746.42019
350	18729.46426
351	18723.502
352	18717.3179
353	18709.74697
354	18698.2773
355	18668.78813
356	18655.18633
357	18636.4887
358	18626.30915
359	18616.09607
360	18586.71338
361	18554.32037
362	18524.42149
363	18518.89387
364	18513.60652
365	18476.71489
366	18451.07752
367	18434.26774
368	18422.95245
369	18391.94512
370	18383.80514
371	18355.47224
372	18351.34663
373	18328.24404
374	18322.94
375	18306.33883
376	18299.28759
377	18276.78192
378	18271.73768
379	18239.94794
380	18231.31657
381	18204.75801
382	18200.17996
383	18186.74746
384	18181.84275
385	18167.5026
386	18164.06283
387	18136.2656
388	18116.38137
389	18110.83298
390	18092.21023
391	18088.54753
392	18073.84105
393	18047.79975
394	18018.2117
395	17989.51771
396	17979.77908
397	17975.60356
398	17951.66479
399	17932.59898
400	17908.86135
401	17904.95252
402	17892.94301
403	17879.6611
404	17876.17765
405	17864.93061
406	17853.39971
407	17828.92386
408	17820.07014
409	17796.5552
410	17770.33497
411	17750.9867
412	17735.9721
413	17724.36984
414	17721.5702
415	17717.98752
416	17700.98506
417	17690.82892
418	17677.74629
419	17674.90873
420	17644.73933
421	17640.99677
422	17637.08608
423	17634.01465
424	17630.66996
425	17610.02724
426	17593.37957
427	17577.60777
428	17574.12356
429	17554.99513
430	17542.6643
431	17539.50671
432	17536.40021
433	17520.78999
434	17518.35943
435	17506.89449
436	17504.53006
437	17501.48479
438	17498.20727
439	17494.89392
440	17484.06033
441	17479.44675
442	17474.92769
443	17455.34005
444	17448.45186
445	17433.92163
446	17412.45661
447	17409.57896
448	17405.29835
449	17383.8693
450	17381.66886
451	17377.51046
452	17359.0346
453	17338.71582
454	17336.10791
455	17332.91706
456	17315.95629
457	17308.93016
458	17305.03014
459	17302.56453
460	17296.80563
461	17280.84566
462	17278.78168
463	17276.38265
464	17253.54601
465	17251.18985
466	17230.37268
467	17209.00983
468	17206.71015
469	17204.1352
470	17201.67694
471	17199.3565
472	17185.31008
473	17179.81517
474	17155.90309
475	17136.81465
476	17116.83039
477	17103.56078
478	17086.04406
479	17054.1455
480	17019.52504
481	17017.22212
482	17014.83566
483	16996.18842
484	16994.31973
485	16991.67103
486	16975.809
487	16973.43638
488	16961.40285
489	16959.07671
490	16956.78692
491	16954.53288
492	16952.31401
493	16950.55303
494	16948.37648
495	16924.43549
496	16909.92822
497	16899.80623
498	16898.11104
499	16891.41596
500	16861.21952
501	16851.55108
502	16830.59387
503	16826.70666
504	16825.86057
505	16822.59328
506	16803.63997
507	16794.17168
508	16771.544
509	16758.08708
510	16749.03995
511	16744.87803
512	16737.73788
513	16721.25175
514	16719.69162
515	16694.60901
516	16692.87115
517	16691.31988
518	16689.77212
519	16688.28944
520	16664.12032
521	16662.18256
522	16659.14481
523	16635.81442
524	16608.50154
525	16605.14683
526	16588.62559
527	16586.74382
528	16561.84379
529	16539.17208
530	16537.78899
531	16521.78297
532	16518.85554
533	16500.51463
534	16476.74556
535	16468.07997
536	16466.89161
537	16465.09653
538	16463.77543
539	16455.41438
540	16453.37638
541	16452.08766
542	16441.22071
543	16439.51179
544	16429.16399
545	16426.70105
546	16425.58088
547	16408.78828
548	16393.28364
549	16391.30422
550	16390.25414
551	16380.3408
552	16364.27927
553	16362.64913
554	16354.51782
555	16353.41996
556	16338.53244
557	16332.38945
558	16331.37015
559	16329.79391
560	16328.79622
561	16327.61662
562	16317.57006
563	16286.25703
564	16276.99777
565	16275.10794
566	16269.19344
567	16244.98136
568	16243.35623
569	16241.51061
570	16239.36625
571	16232.70084
572	16227.03586
573	16197.27425
574	16174.25858
575	16172.77748
576	16170.70115
577	16169.80557
578	16168.92103
579	16140.50832
580	16139.29018
581	16133.16614
582	16132.24233
583	16112.75644
584	16110.96582
585	16110.10414
586	16108.59432
587	16102.781
588	16091.1082
589	16090.04999
590	16088.87531
591	16078.12356
592	16063.94902
593	16042.81252
594	16032.64549
595	16031.79387
596	16025.94649
597	16024.7738
598	16013.55283
599	16011.81638
600	15993.63794
601	15992.90967
602	15981.33534
603	15973.94151
604	15959.72812
605	15958.68978
606	15957.86899
607	15940.91633
608	15927.43217
609	15915.34343
610	15903.69365
611	15892.01784
612	15890.87556
613	15882.73565
614	15865.97218
615	15860.08577
616	15840.23708
617	15838.56502
618	15836.32793
619	15830.85166
620	15823.75858
621	15821.57165
622	15808.13848
623	15806.17337
624	15805.39268
625	15794.10162
626	15790.33729
627	15780.02589
628	15771.58309
629	15768.41549
630	15766.30236
631	15764.7568
632	15756.9732
