iter	Passed	Remaining
199	1865	7460
200	1874	7450
201	1882	7437
202	1887	7412
203	1896	7399
204	1905	7388
205	1912	7373
206	1922	7364
207	1927	7340
208	1936	7328
209	1944	7314
210	1952	7301
211	1961	7290
212	1969	7275
213	1977	7263
214	1986	7254
215	1995	7242
216	2000	7218
217	2005	7195
218	2013	7182
219	2022	7171
220	2030	7158
221	2039	7147
222	2047	7135
223	2052	7110
224	2060	7096
225	2069	7086
226	2073	7061
227	2080	7043
228	2089	7034
229	2098	7026
230	2106	7013
231	2117	7011
232	2128	7005
233	2140	7006
234	2152	7006
235	2161	6997
236	2173	6997
237	2184	6993
238	2196	6992
239	2206	6987
240	2215	6977
241	2224	6966
242	2232	6954
243	2242	6949
244	2251	6939
245	2260	6929
246	2270	6922
247	2278	6909
248	2285	6893
249	2293	6879
250	2301	6868
251	2309	6855
252	2318	6845
253	2327	6836
254	2337	6828
255	2346	6818
256	2353	6804
257	2361	6791
258	2369	6779
259	2378	6770
260	2386	6756
261	2393	6742
262	2399	6723
263	2408	6713
264	2413	6693
265	2421	6681
266	2429	6670
267	2437	6658
268	2446	6649
269	2455	6638
270	2464	6628
271	2472	6617
272	2481	6607
273	2489	6597
274	2498	6586
275	2507	6577
276	2515	6566
277	2524	6556
278	2533	6546
279	2541	6536
280	2552	6530
281	2560	6519
282	2569	6509
283	2577	6498
284	2585	6486
285	2593	6473
286	2599	6458
287	2608	6447
288	2617	6439
289	2625	6429
290	2634	6419
291	2642	6408
292	2651	6397
293	2661	6390
294	2669	6379
295	2678	6370
296	2687	6361
297	2697	6353
298	2705	6344
299	2714	6332
300	2722	6321
301	2731	6313
302	2740	6303
303	2749	6295
304	2756	6280
305	2764	6269
306	2772	6258
307	2781	6249
308	2788	6234
309	2795	6221
310	2804	6212
311	2812	6202
312	2821	6192
313	2831	6185
314	2839	6175
315	2849	6167
316	2858	6158
317	2866	6147
318	2875	6138
319	2884	6129
320	2892	6118
321	2900	6107
322	2909	6098
323	2918	6088
324	2927	6079
325	2936	6070
326	2944	6060
327	2952	6049
328	2961	6040
329	2970	6031
330	2978	6020
331	2987	6010
332	2996	6001
333	3003	5989
334	3013	5981
335	3022	5972
336	3030	5961
337	3039	5953
338	3048	5944
339	3057	5934
340	3065	5924
341	3075	5917
342	3083	5906
343	3092	5897
344	3099	5885
345	3108	5875
346	3117	5866
347	3125	5855
348	3133	5845
349	3142	5835
350	3150	5825
351	3160	5817
352	3168	5806
353	3177	5799
354	3188	5793
355	3198	5786
356	3210	5782
357	3221	5776
358	3233	5772
359	3242	5764
360	3252	5757
361	3263	5752
362	3272	5741
363	3281	5733
364	3290	5724
365	3298	5714
366	3308	5705
367	3316	5695
368	3323	5683
369	3331	5672
370	3340	5664
371	3348	5653
372	3358	5646
373	3367	5636
374	3375	5625
375	3383	5615
376	3392	5606
377	3401	5596
378	3409	5587
379	3418	5577
380	3428	5569
381	3436	5559
382	3444	5549
383	3453	5540
384	3462	5530
385	3471	5521
386	3481	5513
387	3489	5504
388	3497	5494
389	3507	5486
390	3516	5476
391	3526	5469
392	3535	5460
393	3544	5452
394	3553	5442
395	3562	5433
396	3570	5423
397	3579	5414
398	3588	5405
399	3597	5396
400	3606	5387
401	3616	5379
402	3624	5369
403	3632	5359
404	3641	5350
405	3650	5341
406	3659	5332
407	3667	5321
408	3675	5311
409	3685	5302
410	3693	5293
411	3701	5283
412	3710	5273
413	3718	5263
414	3726	5253
415	3735	5244
416	3744	5234
417	3753	5226
418	3761	5215
419	3769	5205
420	3777	5195
421	3786	5186
422	3796	5178
423	3804	5167
424	3812	5158
425	3822	5150
426	3831	5141
427	3839	5131
428	3848	5122
429	3856	5112
430	3865	5102
431	3874	5093
432	3882	5083
433	3890	5074
434	3898	5064
435	3908	5055
436	3919	5049
437	3928	5040
438	3938	5032
439	3947	5024
440	3956	5015
441	3966	5007
442	3975	4997
443	3982	4987
444	3991	4978
445	4000	4969
446	4009	4959
447	4017	4950
448	4025	4939
449	4035	4932
450	4044	4923
451	4053	4913
452	4062	4904
453	4069	4894
454	4078	4884
455	4087	4876
456	4096	4866
457	4105	4858
458	4113	4848
459	4122	4838
460	4130	4829
461	4140	4821
462	4148	4811
463	4157	4802
464	4165	4792
465	4173	4782
466	4183	4774
467	4191	4764
468	4200	4755
469	4208	4745
470	4218	4737
471	4226	4727
472	4235	4719
473	4244	4710
474	4252	4700
475	4261	4691
476	4270	4681
477	4279	4673
478	4288	4664
479	4296	4654
480	4305	4646
481	4314	4636
482	4322	4626
483	4330	4616
484	4340	4608
485	4349	4599
486	4357	4590
487	4367	4582
488	4376	4572
489	4385	4564
490	4393	4554
491	4402	4545
492	4410	4536
493	4419	4527
494	4427	4516
495	4436	4507
496	4444	4497
497	4453	4488
498	4461	4479
499	4470	4470
500	4478	4460
501	4487	4451
502	4494	4441
503	4504	4433
504	4512	4422
505	4520	4413
506	4529	4404
507	4537	4394
508	4545	4384
509	4554	4375
510	4563	4366
511	4571	4357
512	4580	4348
513	4588	4338
514	4596	4328
515	4605	4319
516	4615	4311
517	4623	4301
518	4631	4292
519	4640	4283
520	4648	4274
521	4657	4265
522	4666	4256
523	4674	4246
524	4683	4237
525	4691	4228
526	4700	4219
527	4710	4210
528	4718	4201
529	4726	4191
530	4734	4181
531	4742	4171
532	4750	4162
533	4758	4152
534	4768	4144
535	4776	4134
536	4785	4126
537	4794	4116
538	4802	4107
539	4810	4098
540	4819	4088
541	4827	4079
542	4835	4069
543	4844	4061
544	4853	4051
545	4860	4041
546	4870	4033
547	4879	4024
548	4887	4015
549	4896	4006
550	4905	3997
551	4914	3988
552	4923	3979
553	4931	3970
554	4941	3961
555	4949	3952
556	4958	3943
557	4968	3935
558	4978	3927
559	4986	3917
560	4996	3909
561	5004	3900
562	5014	3891
563	5023	3883
564	5031	3873
565	5039	3864
566	5047	3854
567	5057	3846
568	5066	3837
569	5074	3828
570	5082	3818
571	5091	3809
572	5102	3802
573	5111	3793
574	5122	3786
575	5135	3780
576	5148	3774
577	5157	3765
578	5168	3758
579	5180	3751
580	5188	3742
581	5198	3733
582	5206	3724
583	5215	3715
584	5223	3705
585	5232	3696
586	5241	3687
587	5250	3678
588	5259	3669
589	5267	3660
590	5276	3651
591	5285	3642
592	5293	3633
593	5301	3623
594	5310	3614
595	5319	3605
596	5328	3596
597	5336	3587
598	5346	3579
599	5354	3569
600	5363	3561
601	5371	3551
602	5381	3543
603	5389	3533
604	5397	3524
605	5405	3514
606	5414	3505
607	5422	3496
608	5431	3487
609	5440	3478
610	5448	3469
611	5455	3458
612	5463	3449
613	5470	3439
614	5479	3430
615	5488	3421
616	5498	3413
617	5507	3404
618	5516	3395
619	5524	3385
620	5532	3376
621	5539	3366
622	5548	3357
623	5557	3348
624	5565	3339
625	5575	3330
626	5584	3321
627	5592	3312
628	5600	3303
629	5608	3293
630	5616	3284
631	5625	3275
632	5634	3266
633	5643	3258
634	5652	3249
635	5660	3239
636	5669	3230
637	5677	3221
638	5685	3211
639	5694	3203
640	5702	3193
641	5712	3185
642	5720	3175
643	5728	3166
644	5736	3157
645	5745	3148
646	5754	3139
647	5763	3130
648	5770	3120
649	5778	3111
650	5787	3102
651	5796	3093
652	5805	3084
653	5813	3075
654	5822	3066
655	5830	3057
656	5840	3048
657	5848	3039
658	5857	3030
659	5865	3021
660	5874	3012
661	5882	3003
662	5891	2994
663	5900	2985
664	5908	2976
665	5916	2967
666	5925	2958
667	5933	2948
668	5941	2939
669	5950	2930
670	5959	2922
671	5967	2912
672	5976	2903
673	5984	2894
674	5993	2885
675	6002	2877
676	6011	2867
677	6018	2858
678	6026	2849
679	6035	2840
680	6042	2830
681	6052	2822
682	6060	2813
683	6070	2804
684	6079	2795
685	6088	2786
686	6098	2778
687	6107	2769
688	6116	2760
689	6125	2752
690	6135	2743
691	6144	2734
692	6152	2725
693	6165	2718
694	6177	2711
695	6189	2703
696	6200	2695
697	6214	2688
698	6226	2681
699	6238	2673
700	6248	2665
701	6258	2656
702	6266	2647
703	6276	2639
704	6286	2630
705	6295	2621
706	6304	2612
707	6313	2603
708	6322	2595
709	6330	2585
710	6340	2577
711	6348	2568
712	6358	2559
713	6366	2550
714	6375	2541
715	6385	2532
716	6393	2523
717	6402	2514
718	6411	2505
719	6422	2497
720	6431	2488
721	6439	2479
722	6448	2470
723	6457	2461
724	6467	2453
725	6476	2444
726	6487	2435
727	6496	2427
728	6506	2418
729	6515	2409
730	6524	2400
731	6533	2392
732	6543	2383
733	6553	2375
734	6563	2366
735	6574	2358
736	6585	2349
737	6595	2341
738	6606	2333
739	6617	2325
740	6628	2316
741	6641	2309
742	6652	2301
743	6663	2292
744	6675	2285
745	6686	2276
746	6699	2268
747	6710	2260
748	6722	2252
749	6734	2244
750	6746	2236
751	6758	2228
752	6769	2220
753	6782	2212
754	6794	2204
755	6807	2196
756	6818	2188
757	6831	2181
758	6844	2173
759	6855	2164
760	6868	2156
761	6879	2148
762	6890	2140
763	6902	2132
764	6913	2123
765	6926	2115
766	6938	2107
767	6950	2099
768	6964	2091
769	6975	2083
770	6989	2075
771	7001	2067
772	7012	2059
773	7023	2050
774	7036	2042
775	7048	2034
776	7059	2026
777	7072	2018
778	7085	2010
779	7098	2002
780	7111	1994
781	7123	1985
782	7134	1977
783	7146	1968
784	7159	1960
785	7171	1952
786	7185	1944
787	7197	1936
788	7208	1927
789	7220	1919
790	7232	1911
791	7245	1902
792	7257	1894
793	7269	1886
794	7282	1877
795	7295	1869
796	7306	1860
797	7319	1852
798	7331	1844
799	7344	1836
800	7356	1827
801	7369	1819
802	7381	1810
803	7392	1802
804	7404	1793
805	7415	1784
806	7426	1776
807	7439	1767
808	7450	1759
809	7464	1750
810	7477	1742
811	7489	1734
812	7502	1725
813	7514	1716
814	7526	1708
815	7537	1699
816	7551	1691
817	7564	1683
818	7578	1674
819	7591	1666
820	7603	1657
821	7616	1649
822	7628	1640
823	7639	1631
824	7652	1623
825	7663	1614
826	7675	1605
827	7687	1596
828	7699	1588
829	7712	1579
830	7725	1571
831	7737	1562
832	7750	1553
833	7762	1545
834	7774	1536
835	7785	1527
836	7798	1518
837	7810	1509
838	7822	1501
839	7832	1491
840	7847	1483
841	7860	1474
842	7872	1466
843	7885	1457
844	7897	1448
845	7909	1439
846	7922	1431
847	7935	1422
848	7945	1413
849	7958	1404
850	7971	1395
851	7985	1387
852	7998	1378
853	8009	1369
854	8022	1360
855	8034	1351
856	8049	1343
857	8062	1334
858	8078	1326
859	8097	1318
860	8122	1311
861	8143	1303
862	8162	1295
863	8179	1287
864	8196	1279
865	8212	1270
866	8228	1262
867	8245	1253
868	8261	1245
869	8274	1236
870	8286	1227
871	8297	1217
872	8310	1208
873	8322	1199
874	8334	1190
875	8345	1181
876	8356	1172
877	8369	1163
878	8381	1153
879	8393	1144
880	8405	1135
881	8419	1126
882	8431	1117
883	8443	1107
884	8455	1098
885	8468	1089
886	8482	1080
887	8493	1071
888	8505	1062
889	8519	1052
890	8532	1043
891	8546	1034
892	8559	1025
893	8571	1016
